01,AerChemMIP,22
02,C4MIP,24
03,CDRMIP,11
04,CFMIP,22
05,CMIP,103
06,CORDEX,12
07,DAMIP,19
08,DCPP,22
09,DynVarMIP,21
10,FAFMIP,15
11,GMMIP,24
12,GeoMIP,14
13,HighResMIP,41
14,ISMIP6,8
15,LS3MIP,19
16,LUMIP,19
17,OMIP,40
18,PAMIP,9
19,PMIP,29
20,RFMIP,31
21,SIMIP,21
22,ScenarioMIP,51
23,VIACSAB,13
24,VolMIP,16
