PROJECT_ACRONYM;MODEL_ACRONYM;LENGTH(MODEL_ACRONYM);MODEL_LABEL;RIGHTS;RIGHTS_URI;RIGHTS_IDENTIFIER
CMIP6_input4MIPs;PCMDI-AMIP-1-1-1;16;PCMDI-AMIP-1-1-1;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-2;16;PCMDI-AMIP-1-1-2;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-3;16;PCMDI-AMIP-1-1-3;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-4;16;PCMDI-AMIP-1-1-4;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-5;16;PCMDI-AMIP-1-1-5;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-6;16;PCMDI-AMIP-1-1-6;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-7;16;PCMDI-AMIP-1-1-7;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;SOLARIS-HEPPA;13;SOLARIS-HEPPA;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;SOLARIS-HEPPA-3-2;17;SOLARIS-HEPPA-3-2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UCI;3;UCI;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fu-prArctic-prAntarctic-1-0;31;UCI-fu-prArctic-prAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fut2CAntarctic-1-0;22;UCI-fut2CAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fut2CArctic-1-0;19;UCI-fut2CArctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fut2CArctic-2mAntarctic-1-0;31;UCI-fut2CArctic-2mAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fut2CBKSeas-1-0;19;UCI-fut2CBKSeas-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-fut2COkhotsk-1-0;20;UCI-fut2COkhotsk-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-pi-prArctic-prAntarctic-1-0;31;UCI-pi-prArctic-prAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-pi-prArctic-prAntarctic-1-1;31;UCI-pi-prArctic-prAntarctic-1-1;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-piAntarctic-1-0;19;UCI-piAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-piArctic-1-0;16;UCI-piArctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-preindustrial-1-0;21;UCI-preindustrial-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-present-1-0;15;UCI-present-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-present-197901-201412-Arctic-Antarctic-1-0;46;UCI-present-197901-201412-Arctic-Antarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-present-197901-201412-clim-Arctic-Antarctic-1-0;51;UCI-present-197901-201412-clim-Arctic-Antarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UCI-present-2mAntarctic-1-0;27;UCI-present-2mAntarctic-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;UColorado-RFMIP;15;UColorado-RFMIP;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UColorado-RFMIP-0-4;19;UColorado-RFMIP-0-4;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UColorado-RFMIP-1-0;19;UColorado-RFMIP-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UColorado-RFMIP-1-1;19;UColorado-RFMIP-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UColorado-RFMIP-1-2;19;UColorado-RFMIP-1-2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UKESM1-0-LL-ssp585-1-0;22;UKESM1-0-LL-ssp585-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI;13;UReading-CCMI;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-1-0;17;UReading-CCMI-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp119-1-0;24;UReading-CCMI-ssp119-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp119-1-1;24;UReading-CCMI-ssp119-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp126-1-0;24;UReading-CCMI-ssp126-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp245-1-0;24;UReading-CCMI-ssp245-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp370-1-0;24;UReading-CCMI-ssp370-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp434-1-0;24;UReading-CCMI-ssp434-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp434-1-1;24;UReading-CCMI-ssp434-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp460-1-0;24;UReading-CCMI-ssp460-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp460-1-1;24;UReading-CCMI-ssp460-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp534os-1-0;26;UReading-CCMI-ssp534os-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp534os-1-1;26;UReading-CCMI-ssp534os-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UReading-CCMI-ssp585-1-0;24;UReading-CCMI-ssp585-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM;3;UoM;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-AIM-ssp370-1-2-0;20;UoM-AIM-ssp370-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-AIM-ssp370-1-2-1;20;UoM-AIM-ssp370-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-AIM-ssp370-lowNTCF-1-2-0;28;UoM-AIM-ssp370-lowNTCF-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-AIM-ssp370-lowNTCF-1-2-1;28;UoM-AIM-ssp370-lowNTCF-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-CMIP-1-2-0;14;UoM-CMIP-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-GCAM4-ssp434-1-2-0;22;UoM-GCAM4-ssp434-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-GCAM4-ssp434-1-2-1;22;UoM-GCAM4-ssp434-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-GCAM4-ssp460-1-2-0;22;UoM-GCAM4-ssp460-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-GCAM4-ssp460-1-2-1;22;UoM-GCAM4-ssp460-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-IMAGE-ssp119-1-2-0;22;UoM-IMAGE-ssp119-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-IMAGE-ssp119-1-2-1;22;UoM-IMAGE-ssp119-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-IMAGE-ssp126-1-2-0;22;UoM-IMAGE-ssp126-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-IMAGE-ssp126-1-2-1;22;UoM-IMAGE-ssp126-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-MESSAGE-GLOBIOM-ssp245-1-2-0;32;UoM-MESSAGE-GLOBIOM-ssp245-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-MESSAGE-GLOBIOM-ssp245-1-2-1;32;UoM-MESSAGE-GLOBIOM-ssp245-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-REMIND-MAGPIE-ssp534-over-1-2-0;35;UoM-REMIND-MAGPIE-ssp534-over-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-REMIND-MAGPIE-ssp534-over-1-2-1;35;UoM-REMIND-MAGPIE-ssp534-over-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-REMIND-MAGPIE-ssp585-1-2-0;30;UoM-REMIND-MAGPIE-ssp585-1-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-REMIND-MAGPIE-ssp585-1-2-1;30;UoM-REMIND-MAGPIE-ssp585-1-2-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UoM-ssp126-1-1-0;16;UoM-ssp126-1-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState;15;UofMD-landState;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-2-1-h;21;UofMD-landState-2-1-h;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-AIM-ssp370-2-1-f;32;UofMD-landState-AIM-ssp370-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-GCAM-ssp434-2-1-f;33;UofMD-landState-GCAM-ssp434-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-GCAM-ssp460-2-1-f;33;UofMD-landState-GCAM-ssp460-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-IMAGE-ssp119-2-1-f;34;UofMD-landState-IMAGE-ssp119-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-IMAGE-ssp126-2-1-e;34;UofMD-landState-IMAGE-ssp126-2-1-e;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-IMAGE-ssp126-2-1-f;34;UofMD-landState-IMAGE-ssp126-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-MAGPIE-ssp534-2-1-e;35;UofMD-landState-MAGPIE-ssp534-2-1-e;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-MAGPIE-ssp534-2-1-f;35;UofMD-landState-MAGPIE-ssp534-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-MAGPIE-ssp585-2-1-e;35;UofMD-landState-MAGPIE-ssp585-2-1-e;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-MAGPIE-ssp585-2-1-f;35;UofMD-landState-MAGPIE-ssp585-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-MESSAGE-ssp245-2-1-f;36;UofMD-landState-MESSAGE-ssp245-2-1-f;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-high-2-1-h;26;UofMD-landState-high-2-1-h;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;UofMD-landState-low-2-1-h;25;UofMD-landState-low-2-1-h;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;VUA-CMIP-BB4CMIP6;17;VUA-CMIP-BB4CMIP6;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;VUA-CMIP-BB4CMIP6-1-0;21;VUA-CMIP-BB4CMIP6-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;VUA-CMIP-BB4CMIP6-1-1;21;VUA-CMIP-BB4CMIP6-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;VUA-CMIP-BB4CMIP6-1-2;21;VUA-CMIP-BB4CMIP6-1-2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;4AOP-v1-5;9;4AOP-v1-5;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;ACCESS-CM2;10;ACCESS-CM2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ACCESS-ESM1-5;13;ACCESS-ESM1.5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ACCESS-OM2;10;ACCESS-OM2;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ACCESS-OM2-025;14;ACCESS-OM2-025;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;ARTS-2-3;8;ARTS 2.3;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
IPCC-AR6_CMIP6;AWI-CM-1-1-HR;13;AWI-CM 1.1 HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;AWI-CM-1-1-LR;13;AWI-CM 1.1 LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;AWI-CM-1-1-MR;13;AWI-CM 1.1 MR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;AWI-ESM-1-1-LR;14;AWI-ESM 1.1 LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;AWI-ESM-2-1-LR;14;AWI-ESM 2.1 LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;BCC-CSM2-HR;11;BCC-CSM 2 HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;BCC-CSM2-MR;11;BCC-CSM 2 MR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;BCC-ESM1;8;BCC-ESM 1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;BESM-2-9;8;BESM 2.9;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;BNU-ESM-1-1;11;BNU-ESM 1.1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CAM-MPAS-HR;11;CAM-MPAS-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CAM-MPAS-LR;11;CAM-MPAS-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CAMS-CSM1-0;11;CAMS-CSM 1.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CAS-ESM2-0;10;CAS-ESM 2.0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM1-1-CAM5-CMIP5;18;CESM1-1-CAM5-CMIP5;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM1-CAM5-SE-HR;16;CESM1-CAM5-SE-HR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
IPCC-AR6_CMIP6;CESM1-CAM5-SE-LR;16;CESM1-CAM5-SE-LR;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
