PROJECT_ACRONYM;MODEL_ACRONYM;LENGTH(MODEL_ACRONYM);MODEL_LABEL;RIGHTS;RIGHTS_URI;RIGHTS_IDENTIFIER
CMIP6_input4MIPs;CSIRO-MK3-6-0-rcp85-1-0;23;CSIRO-MK3-6-0-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;DCPP-C;6;DCPP-C;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;DCPP-C-amv-1-1;14;DCPP-C-amv-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;DCPP-C-ipv-1-1;14;DCPP-C-ipv-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;HadGEM2-ES-rcp85-1-0;20;HadGEM2-ES-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IACETH-SAGE3lambda;18;IACETH-SAGE3lambda;unknown;;
CMIP6_input4MIPs;IACETH-SAGE3lambda-2-1-0;24;IACETH-SAGE3lambda-2-1-0;unknown;;
CMIP6_input4MIPs;IACETH-SAGE3lambda-3-0-0;24;IACETH-SAGE3lambda-3-0-0;unknown;;
CMIP6_input4MIPs;IAMC;4;IAMC;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-AIM-ssp370-1-0;19;IAMC-AIM-ssp370-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-AIM-ssp370-1-1;19;IAMC-AIM-ssp370-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-AIM-ssp370-1-1-supplemental-data;37;IAMC-AIM-ssp370-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-AIM-ssp370-lowNTCF-1-1;27;IAMC-AIM-ssp370-lowNTCF-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-AIM-ssp370-lowNTCF-1-1-supplemental-data;45;IAMC-AIM-ssp370-lowNTCF-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp434-1-0;21;IAMC-GCAM4-ssp434-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp434-1-1;21;IAMC-GCAM4-ssp434-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp434-1-1-supplemental-data;39;IAMC-GCAM4-ssp434-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp460-1-0;21;IAMC-GCAM4-ssp460-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp460-1-1;21;IAMC-GCAM4-ssp460-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-GCAM4-ssp460-1-1-supplemental-data;39;IAMC-GCAM4-ssp460-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp119-1-0;21;IAMC-IMAGE-ssp119-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp119-1-1;21;IAMC-IMAGE-ssp119-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp119-1-1-supplemental-data;39;IAMC-IMAGE-ssp119-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp126-1-0;21;IAMC-IMAGE-ssp126-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp126-1-1;21;IAMC-IMAGE-ssp126-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-IMAGE-ssp126-1-1-supplemental-data;39;IAMC-IMAGE-ssp126-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-MESSAGE-GLOBIOM-ssp245-1-0;31;IAMC-MESSAGE-GLOBIOM-ssp245-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-MESSAGE-GLOBIOM-ssp245-1-1;31;IAMC-MESSAGE-GLOBIOM-ssp245-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-MESSAGE-GLOBIOM-ssp245-1-1-supplemental-data;49;IAMC-MESSAGE-GLOBIOM-ssp245-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp534-over-1-0;34;IAMC-REMIND-MAGPIE-ssp534-over-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp534-over-1-1;34;IAMC-REMIND-MAGPIE-ssp534-over-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp534-over-1-1-supplemental-data;52;IAMC-REMIND-MAGPIE-ssp534-over-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp585-1-0;29;IAMC-REMIND-MAGPIE-ssp585-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp585-1-1;29;IAMC-REMIND-MAGPIE-ssp585-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IAMC-REMIND-MAGPIE-ssp585-1-1-supplemental-data;47;IAMC-REMIND-MAGPIE-ssp585-1-1-supplemental-data;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IPSL-CM5A-MR-rcp26-1-0;22;IPSL-CM5A-MR-rcp26-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;IPSL-CM5A-MR-rcp85-1-0;22;IPSL-CM5A-MR-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege;15;ImperialCollege;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-1-0;19;ImperialCollege-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-1-1;19;ImperialCollege-1-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-2-0;19;ImperialCollege-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-AIM-ssp370-1-0;30;ImperialCollege-AIM-ssp370-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-GLOBIOM-ssp245-1-0;34;ImperialCollege-GLOBIOM-ssp245-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-IMAGE-ssp119-1-0;32;ImperialCollege-IMAGE-ssp119-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-IMAGE-ssp126-1-0;32;ImperialCollege-IMAGE-ssp126-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-REMIND-MAGPIE-ssp534os-1-0;42;ImperialCollege-REMIND-MAGPIE-ssp534os-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-REMIND-MAGPIE-ssp585-1-0;40;ImperialCollege-REMIND-MAGPIE-ssp585-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;ImperialCollege-ssp245-covid-4-8-1;34;ImperialCollege-ssp245-covid-4-8-1;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;MIROC-ESM-CHEM-rcp26-1-0;24;MIROC-ESM-CHEM-rcp26-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
